,X,Y,Z,azimuth,reflectivity,laser_id,,,,,vertical_angle
274,0.40646,6.57028,-1.51977,354,5,2,,,,,-13
275,0.420526,6.79766,0.356931,354,59,3,,,,,3
276,0.421462,6.79354,-1.32307,355,67,4,,,,,-11
277,0.42026,6.75509,0.592136,356,98,5,,,,,5
278,0.424605,6.80577,-1.08002,357,54,6,,,,,-9
279,0.421937,6.74407,0.829686,358,72,7,,,,,7
280,0.425352,6.77966,-0.834074,359,55,8,,,,,-7
281,0.424199,6.74246,1.07001,360,73,9,,,,,9
282,0.428979,6.81842,-0.597714,360,65,10,,,,,-5
283,0.424496,6.72844,1.31048,361,70,11,,,,,11
284,0.431152,6815,-0.357873,362,81,12,,,,,-3
285,0.425664,6.70966,1.55216,363,51,13,,,,,13
286,0.433425,6.81319,-0.119165,364,52,14,,,,,-1
287,0.427371,6.69957,1.79879,365,46,15,,,,,15
288,0.368483,5.65219,-1.51771,373,11,0,,,,,-15
289,0.442837,6.77451,0.118502,374,93,1,,,,,1
290,0.431176,6.57847,-1.52202,375,12,2,,,,,-13
291,0.445052,6.77208,0.355675,376,53,3,,,,,3
292,0.445844,6.78412,-1.32154,376,63,4,,,,,-11
293,0.44305,6.72368,0.589521,377,92,5,,,,,5
294,0.446942,6.76474,-1.07377,378,56,6,,,,,-9
295,0.445341,6.72267,0.827249,379,66,7,,,,,7
296,0.44875,6.75626,-0.831393,380,52,8,,,,,-7
297,0.447859,6.72509,1.06751,381,70,9,,,,,9
298,0.452246,6.79096,-0.595448,381,72,10,,,,,-5
299,0.446408,6.6857,1.30246,382,66,11,,,,,11
300,0.455327,6.80142,-0.357245,383,78,12,,,,,-3
301,0.449209,6.6925,1.54856,384,53,13,,,,,13
302,0.455037,6.76167,-0.118292,385,54,14,,,,,-1
303,0.449198,6.6749,1.79258,385,46,15,,,,,15
304,0.388608,5.65665,-1.51927,393,14,0,,,,,-15
305,0.464696,6.74699,0.118048,394,95,1,,,,,1
306,0.453197,6.56332,-1.51887,395,15,2,,,,,-13
307,0.466482,6.7386,354,396,51,3,,,,,3
308,0.467624,6.7551,-1.3162,396,67,4,,,,,-11
309,465,6.70023,0.587604,397,87,5,,,,,5
310,0.468633,6.73555,-1.06939,398,56,6,,,,,-9
311,0.466042,6.68147,0.822374,399,66,7,,,,,7
312,0.471085,6.73683,-0.829199,400,51,8,,,,,-7
313,0.469673,6.69984,1.06375,401,73,9,,,,,9
314,0.474972,6.77543,-0.594228,401,81,10,,,,,-5
315,0.468641,6.66843,1.29941,402,65,11,,,,,11
316,0.476258,6.75994,-0.355152,403,75,12,,,,,-3
317,0.471194,6.67146,1.54406,404,51,13,,,,,13
318,0.477507,6.74409,-0.118013,405,49,14,,,,,-1
319,0.47113,6.65403,1.7874,405,46,15,,,,,15
320,0.40693,5.66311,-1.52134,411,16,0,,,,,-15
321,0.483735,6.71557,0.117525,412,90,1,,,,,1
322,0.473112,6.55214,-1.51662,413,19,2,,,,,-13
323,0.483884,6.70133,0.352116,413,50,3,,,,,3
324,0.487426,6.73401,-1.31238,414,64,4,,,,,-11
325,0.485038,6.68482,0.586384,415,92,5,,,,,5
326,0.488645,6.71829,-1.06688,416,54,6,,,,,-9
327,0.48472,6.64829,0.818475,417,70,7,,,,,7
328,0.488775,6.6878,-0.823349,418,47,8,,,,,-7
329,0.487822,6.67477,1.06,418,67,9,,,,,9
330,0.494509,6.75006,-0.592136,419,74,10,,,,,-5
331,0.487863,6.64343,1.29483,420,65,11,,,,,11
332,495,6.72455,-0.353372,421,84,12,,,,,-3
333,0.489139,6.62913,1.53462,422,47,13,,,,,13
334,0.497512,6.7266,-0.117734,423,49,14,,,,,-1
335,0.490037,6.62554,1.78016,423,48,15,,,,,15
336,0.426696,5.66166,-1.52134,431,16,0,,,,,-15
337,0.505818,6.6959,0.11721,432,91,1,,,,,1
338,0.496275,6.55434,-1.51752,433,17,2,,,,,-13
339,0.507083,6.68159,0.351174,434,54,3,,,,,3
340,0.508849,6.70486,-1.30704,434,60,4,,,,,-11
341,0.506405,6.65726,0.584118,435,85,5,,,,,5
342,0.50939,6.68109,-1.06125,436,56,6,,,,,-9
343,0.506866,6.63271,0.816768,437,68,7,,,,,7
344,0.510297,6.66231,-0.820424,438,46,8,,,,,-7
345,0.509108,6.63158,1.05343,439,69,9,,,,,9
346,0.517458,6.74034,-0.591439,439,74,10,,,,,-5
347,0.510146,6.62994,1.29254,440,63,11,,,,,11
348,0.517242,6.70685,-0.352535,441,66,12,,,,,-3
349,0.509874,6.5963,1.52742,442,47,13,,,,,13
350,0.519135,6.7009,-0.117315,443,54,14,,,,,-1
351,0.513121,6.60829,1.77602,444,46,15,,,,,15
352,0.445848,5.65243,-1.51927,451,19,0,,,,,-15
353,0.528085,6.68014,0.116966,452,86,1,,,,,1
354,0.518689,6.54674,-1.51617,453,17,2,,,,,-13
355,0.527817,6.66195,0.350232,453,52,3,,,,,3
356,0.530075,6.67565,-1.3017,454,71,4,,,,,-11
357,0.527585,6.62964,0.581852,455,80,5,,,,,5
358,0.53208,6.67139,-1.06,456,60,6,,,,,-9
359,0.528117,6.60715,0.813843,457,68,7,,,,,7
360,0.531648,6.63674,-0.8175,458,49,8,,,,,-7
361,0.530356,6.60613,1.04968,459,69,9,,,,,9
362,0.537794,6.69878,-0.587953,459,74,10,,,,,-5
363,0.531397,6.60464,1.28796,460,63,11,,,,,11
364,0.538724,6.68112,-0.351279,461,63,12,,,,,-3
365,0.531483,6.57699,1.52337,462,45,13,,,,,13
366,0.540263,6.67114,-0.116826,463,58,14,,,,,-1
367,0.531758,6.56612,1.76515,463,40,15,,,,,15
368,0.464149,5.63351,-1.51461,471,19,0,,,,,-15
369,0.54745,6.63042,0.116128,472,84,1,,,,,1
370,0.541859,6.54877,-1.51707,473,15,2,,,,,-13
371,0.549586,6.64216,0.34929,473,54,3,,,,,3
372,0.551102,6.64637,-1.29636,474,63,4,,,,,-11
373,0.548084,6.59599,0.579063,475,97,5,,,,,5
374,0.552086,6.63012,-1.05374,476,45,6,,,,,-9
375,0.550682,6.59933,0.813112,477,70,7,,,,,7
376,0.551834,6.59924,-0.813112,478,48,8,,,,,-7
377,0.551928,6.58653,1.04686,479,70,9,,,,,9
378,0.558678,6.66708,-0.585338,479,67,10,,,,,-5
379,0.551491,6.56753,1.28109,480,65,11,,,,,11
380,0.560032,6.65531,-0.350023,481,63,12,,,,,-3
381,0.552473,6.5518,1.51797,482,46,13,,,,,13
382,0.561526,6.6453,-0.116408,483,54,14,,,,,-1
383,0.552397,6.53727,1.7579,483,43,15,,,,,15
384,0.485464,5.6511,-1.51979,491,19,0,,,,,-15
385,0.567847,6.5966,0.11557,492,86,1,,,,,1
386,0.563878,6.53713,-1.51482,493,19,2,,,,,-13
387,0.572379,6.62219,0.348348,494,52,3,,,,,3
388,0.571932,6.61702,-1.29101,494,68,4,,,,,-11
389,0.569558,6.57617,0.577494,495,95,5,,,,,5
390,0.572152,6.59273,-1.04811,496,60,6,,,,,-9
391,0.570619,6.56177,0.808725,497,70,7,,,,,7
392,0.574694,6.59529,-0.812869,498,56,8,,,,,-7
393,0.572395,6.56892,1.04436,498,78,9,,,,,9
394,0.580388,6.64722,-0.583769,499,56,10,,,,,-5
395,0.571846,6.53623,1.27537,500,67,11,,,,,11
396,0.581516,6.63342,-0.348976,501,71,12,,,,,-3
397,0.573805,6.53236,1.51392,502,47,13,,,,,13
398,0.582615,6.6194,-0.115989,503,52,14,,,,,-1
399,0.575166,6.52173,1.75428,504,46,15,,,,,15
400,0.504499,5.64168,-1.51771,511,19,0,,,,,-15
401,0.589621,6.58063,0.115326,512,90,1,,,,,1
402,0.585997,6.52736,-1.51302,513,19,2,,,,,-13
403,0.591479,6.58843,0.346673,513,56,3,,,,,3
404,0.593971,6.60325,-1.28872,514,64,4,,,,,-11
405,0.590363,6.55033,0.575402,515,91,5,,,,,5
406,0.59374,6.57495,-1.04561,516,63,6,,,,,-9
407,0.590122,6.52218,0.804094,517,67,7,,,,,7
408,0.595024,6.56359,-0.809212,518,55,8,,,,,-7
409,0.594145,6.5412,1.04029,519,70,9,,,,,9
410,0.601244,6.61936,-0.581503,519,54,10,,,,,-5
411,0.591989,6.50487,1.26964,520,66,11,,,,,11
412,0.601221,6.59356,-0.346987,521,83,12,,,,,-3
413,0.594299,6.50509,1.50807,522,51,13,,,,,13
414,0.60353,6.59343,-0.11557,523,58,14,,,,,-1
415,0.596163,6.50045,1.7491,524,49,15,,,,,15
416,0.524546,5.64373,-1.51875,531,19,0,,,,,-15
417,0.612217,6.57455,0.115256,532,88,1,,,,,1
418,0.608416,6.5214,-1.51212,533,19,2,,,,,-13
419,0.611133,6.55053,0.344789,533,52,3,,,,,3
420,0.613363,6.56204,-1.28109,534,64,4,,,,,-11
421,0.611367,6.52839,0.573659,535,95,5,,,,,5
422,0.615949,6.56498,-1.04436,536,63,6,,,,,-9
423,0.611398,6.50427,0.802144,537,68,7,,,,,7
424,0.615511,6.53578,-0.806044,538,49,8,,,,,-7
425,0.612869,6.50773,1.03528,538,67,9,,,,,9
426,0.622288,6.5954,-0.579586,539,54,10,,,,,-5
427,0.614507,6.5008,1.26926,540,67,11,,,,,11
428,0.622539,6.57353,-0.346045,541,80,12,,,,,-3
429,0.614241,6.47387,1.50132,542,50,13,,,,,13
430,0.624839,6.57336,-0.115256,543,51,14,,,,,-1
431,0.617202,6.48102,1.74444,544,43,15,,,,,15
432,0.543501,5.63417,-1.51668,551,19,0,,,,,-15
433,0.633047,6.55048,0.114872,552,86,1,,,,,1
434,0.631927,6.52699,-1.51392,553,17,2,,,,,-13
435,0.631301,6.52052,0.343324,553,52,3,,,,,3
436,0.633612,6.5325,-1.27575,554,67,4,,,,,-11
437,0.631454,6.49845,0.571219,555,95,5,,,,,5
438,0.637904,6.55296,-1.04279,556,61,6,,,,,-9
439,0.631787,6.47838,0.799219,557,68,7,,,,,7
440,0.636392,6.51384,-0.803606,558,42,8,,,,,-7
441,0.633853,6.48785,1.03247,558,73,9,,,,,9
442,0.642589,6.56543,-0.577145,559,60,10,,,,,-5
443,0.63413,6.46736,1.26316,560,61,11,,,,,11
444,0.644114,6.5574,-0.345313,561,77,12,,,,,-3
445,0.634736,6.45036,1.49637,562,46,13,,,,,13
446,0.64366,6.52935,-0.114523,563,48,14,,,,,-1
447,0.636214,6.4423,1.73461,564,49,15,,,,,15
448,0.562012,5.62071,-1.51357,571,19,0,,,,,-15
449,0.652122,6.51042,0.114209,572,95,1,,,,,1
450,0.654512,6.52281,-1.51347,573,15,2,,,,,-13
451,0.652462,6.50238,0.342487,573,58,3,,,,,3
452,0.654447,6.51072,-1.27193,574,75,4,,,,,-11
453,0.65114,6.46647,0.568604,575,99,5,,,,,5
454,0.657008,6.51335,-1.03685,576,51,6,,,,,-9
455,653,6.46231,0.797513,577,66,7,,,,,7
456,0.656926,6.48985,-0.800925,578,55,8,,,,,-7
457,0.653313,6.45416,1.02746,578,67,9,,,,,9
458,0.661885,6.52747,-0.574008,579,56,10,,,,,-5
