Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
282,0.443022,6.79556,-0.595797,6.836,628249128,373,6.836,72,10,628249128,-5
283,0.439121,6.71766,1.30857,6.858,628249130,374,6.858,71,11,628249130,11
284,0.445177,6.79209,-0.356722,6.816,628249132,375,6.816,72,12,628249132,-3
285,0.439736,6.69118,1.54811,6.882,628249135,376,6.882,51,13,628249135,13
286,0.446779,6.78026,-0.118607,6.796,628249137,377,6.796,57,14,628249137,-1
287,0.441552,6.68316,1.79465,6.934,628249139,378,6.934,48,15,628249139,15
288,0.379282,5.63599,-1.51357,5.848,628249160,385,5.848,14,0,628249160,-15
289,0.455813,6.75561,0.118188,6.772,628249162,386,6.772,91,1,628249162,1
290,0.443506,6.55617,-1.51707,6.744,628249165,387,6.744,17,2,628249165,-13
291,0.457748,6.74921,0.354524,6.774,628249167,388,6.774,51,3,628249167,3
292,0.458191,6.75574,-1.3162,6.898,628249169,388,6.898,68,4,628249169,-11
293,0.45605,6.70683,0.588127,6.748,628249172,389,6.748,89,5,628249172,5
294,0.459766,6.74409,-1.07064,6.844,628249174,390,6.844,58,6,628249174,-9
295,0.45766,6.69598,0.824081,6.762,628249176,391,6.762,66,7,628249176,7
296,0.461678,6.73748,-0.829199,6.804,628249179,392,6.804,50,8,628249179,-7
297,0.459014,6.6986,1.06344,6.798,628249181,392,6.798,73,9,628249181,9
298,0.465375,6.7741,-0.594054,6.816,628249183,393,6.816,78,10,628249183,-5
299,0.45906,6.66516,1.29865,6.806,628249185,394,6.806,67,11,628249185,11
300,0.467782,6.77455,-0.355884,6.8,628249188,395,6.8,78,12,628249188,-3
301,0.46161,6.66822,1.54316,6.86,628249190,396,6.86,50,13,628249190,13
302,0.469336,6.7627,-0.118327,6.78,628249192,397,6.78,54,14,628249192,-1
303,0.461839,6.65468,1.7874,6.906,628249195,397,6.906,49,15,628249195,15
304,0.399499,5.64234,-1.51564,5.856,628249215,405,5.856,16,0,628249215,-15
305,0.477551,6.72805,0.117734,6.746,628249218,406,6.746,86,1,628249218,1
306,0.465974,6.54875,-1.51572,6.738,628249220,407,6.738,19,2,628249220,-13
307,0.478747,6.71171,0.35264,6.738,628249222,408,6.738,52,3,628249222,3
308,0.480932,6.74235,-1.31391,6.886,628249225,408,6.886,64,4,628249225,-11
309,0.477895,6.68334,0.58621,6.726,628249227,409,6.726,92,5,628249227,5
310,0.480903,6.70894,-1.06532,6.81,628249229,410,6.81,56,6,628249229,-9
311,0.478469,6.6587,0.819693,6.726,628249232,411,6.726,68,7,628249232,7
312,0.483482,6.71207,-0.826274,6.78,628249234,412,6.78,49,8,628249234,-7
313,0.48214,6.67717,1.06031,6.778,628249236,413,6.778,70,9,628249236,9
314,0.487583,6.75256,-0.59231,6.796,628249238,413,6.796,78,10,628249238,-5
315,0.480906,6.64394,1.29483,6.786,628249241,414,6.786,66,11,628249241,11
