intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,,
100,12,20364,556,652439113,652439113,-3,-0.2226441651582718,-0.5086441040039063,-0.02909879200160503,,56539
1,13,20365,652,652439115,652439115,13,-0.2548453807830811,-0.5819332599639893,0.1466680914163589,,56541
81,14,20366,544,652439117,652439117,-1,-0.2182785272598267,-0.498197078704834,-0.009494109079241753,,56543
35,15,20366,664,652439120,652439120,15,-0.257389098405838,-0.5874627232551575,0.1718558520078659,,56546
36,1,20375,608,652439143,652439143,1,-0.2448326945304871,-0.556424617767334,0.01061106286942959,,56569
98,10,20382,586,652439163,652439163,-5,-0.2357641011476517,-0.5340438485145569,-0.05107326433062553,,56589
1,11,20383,664,652439166,652439166,11,-0.2633432149887085,-0.5962333083152771,0.1266971677541733,,56592
100,12,20384,0.5580000000000001,652439168,652439168,-3,-0.225225567817688,-0.5096907019615173,-0.02920346334576607,,56594
1,13,20385,768,652439170,652439170,13,-0.302576869726181,-0.684415340423584,0.1727624088525772,,56596
90,14,20386,544,652439173,652439173,-1,-0.2200162410736084,-0.4974321126937866,-0.009494109079241753,,56599
20,15,20387,678,652439175,652439175,15,-0.2650127708911896,-0.5988816618919373,0.1754793077707291,,56601
51,1,20394,0.63,652439198,652439198,1,-0.2556023001670837,-0.5757139921188354,0.01099501643329859,,56624
11,2,20395,504,652439200,652439200,-13,-0.1993496716022491,-0.4488003253936768,-0.1133753284811974,,56626
5,4,20396,0.5,652439205,652439205,-11,-0.1993187963962555,-0.4485197961330414,-0.0954044982790947,,56631
100,10,20401,0.5740000000000001,652439219,652439219,-5,-0.2326695919036865,-0.5223391056060791,-0.05002739652991295,,56645
1,11,20402,676,652439221,652439221,11,-0.2701138854026794,-0.6061162352561951,0.1289868801832199,,56647
100,12,20403,0.55,652439223,652439223,-3,-0.2236612588167191,-0.5016443729400635,-0.02878477610647678,,56649
1,13,20404,768,652439226,652439226,13,-0.3048447966575623,-0.6834082007408142,0.1727624088525772,,56652
79,14,20405,552,652439228,652439228,-1,-0.2249243408441544,-0.504004180431366,-0.009633728303015232,,56654
6,15,20405,0.67,652439230,652439230,15,-0.2637436985969543,-0.5909895300865173,0.1734087616205215,,56656
16,1,20414,642,652439253,652439253,1,-0.2625172436237335,-0.5857671499252319,0.01120444480329752,,56679
2,4,20416,522,652439260,652439260,-11,-0.2097220718860626,-0.467525452375412,-0.09960229694843292,,56686
2,7,20419,736,652439267,652439267,7,-0.2993381917476654,-0.6663687229156494,0.08969583362340927,,56693
100,10,20421,582,652439274,652439274,-5,-0.2377596497535706,-0.5287923812866211,-0.05072464048862457,,56700
1,11,20422,664,652439276,652439276,11,-0.2673955261707306,-0.5944269895553589,0.1266971677541733,,56702
100,12,20423,556,652439279,652439279,-3,-0.2278700023889542,-0.5063245296478271,-0.02909879200160503,,56705
1,13,20424,768,652439281,652439281,13,-0.3072284758090973,-0.6823399662971497,0.1727624088525772,,56707
79,14,20425,556,652439283,652439283,-1,-0.2283249050378799,-0.506862461566925,-0.009703538380563259,,56709
1,15,20425,748,652439285,652439285,15,-0.2967495024204254,-0.6587594747543335,0.1935966461896896,,56711
7,1,20435,0.7000000000000001,652439308,652439308,1,-0.2885727286338806,-0.6376335620880127,0.01221668440848589,,56734
10,2,20436,528,652439311,652439311,-13,-0.2122016251087189,-0.4686653017997742,-0.1187741532921791,,56737
2,4,20437,538,652439315,652439315,-11,-0.2179149687290192,-0.481060266494751,-0.1026552394032478,,56741
2,7,20440,736,652439322,652439322,7,-0.3017785549163818,-0.6652671098709106,0.08969583362340927,,56748
100,10,20442,0.5740000000000001,652439329,652439329,-5,-0.236401379108429,-0.5206607580184937,-0.05002739652991295,,56755
1,11,20443,736,652439332,652439332,11,-0.2988031506538391,-0.6577922105789185,0.1404354274272919,,56758
100,12,20444,548,652439334,652439334,-3,-0.2264188528060913,-0.4982127547264099,-0.02868010476231575,,56760
1,13,20445,768,652439336,652439336,13,-0.3097273409366608,-0.6812093257904053,0.1727624088525772,,56762
63,14,20446,542,652439338,652439338,-1,-0.2243851870298386,-0.4932806491851807,-0.009459204040467739,,56764
1,15,20447,0.8080000000000001,652439341,652439341,15,-0.323282927274704,-0.7103650569915771,0.2091257870197296,,56767
2,4,20457,518,652439371,652439371,-11,-0.211429551243782,-0.4624417722225189,-0.09883905947208405,,56797
2,7,20460,736,652439378,652439378,7,-0.3040989339351654,-0.6642096638679504,0.08969583362340927,,56804
100,10,20462,0.5660000000000001,652439385,652439385,-5,-0.2348972856998444,-0.5125873684883118,-0.04933014884591103,,56811
1,11,20463,0.66,652439387,652439387,11,-0.2700058817863464,-0.5889291167259216,0.1259339302778244,,56813
99,12,20464,0.5680000000000001,652439389,652439389,-3,-0.2364834398031235,-0.5155733823776245,-0.02972682379186153,,56815
1,13,20465,668,652439391,652439391,13,-0.2714648544788361,-0.5915662050247192,0.1502673029899597,,56817
54,14,20466,546,652439394,652439394,-1,-0.227774366736412,-0.4961290657520294,-0.009529014118015766,,56820
1,15,20467,0.8080000000000001,652439396,652439396,15,-0.3257606029510498,-0.7092322707176208,0.2091257870197296,,56822
10,2,20476,528,652439421,652439421,-13,-0.2154683172702789,-0.4671724438667297,-0.1187741532921791,,56847
3,5,20478,674,652439428,652439428,5,-0.2814221382141113,-0.6096120476722717,0.05874297022819519,,56854
2,7,20480,736,652439433,652439433,7,-0.3064156174659729,-0.6631441116333008,0.08969583362340927,,56859
10,8,20481,0.6,652439435,652439435,-7,-0.2498896867036819,-0.5405630469322205,-0.07312160730361938,,56861
100,10,20482,0.5660000000000001,652439440,652439440,-5,-0.236685112118721,-0.5117642879486084,-0.04933014884591103,,56866
1,11,20483,636,652439442,652439442,11,-0.2621668875217438,-0.5666018128395081,0.1213545203208923,,56868
100,12,20484,556,652439444,652439444,-3,-0.2332475632429123,-0.5038698315620422,-0.02909879200160503,,56870
1,13,20485,0.6960000000000001,652439447,652439447,13,-0.2849934101104736,-0.6153713464736938,0.156565934419632,,56873
53,14,20486,554,652439449,652439449,-1,-0.232867494225502,-0.5025885701179504,-0.009668633341789246,,56875
1,15,20487,0.8080000000000001,652439451,652439451,15,-0.3282342851161957,-0.7080908417701721,0.2091257870197296,,56877
10,2,20496,0.52,652439477,652439477,-13,-0.2138083875179291,-0.4593505561351776,-0.1169745475053787,,56903
2,4,20497,514,652439481,652439481,-11,-0.2129952758550644,-0.4573949575424194,-0.09807582199573517,,56907
2,7,20500,0.6960000000000001,652439488,652439488,7,-0.2919498085975647,-0.6260883808135986,0.08482106029987335,,56914
21,8,20501,0.58,652439491,652439491,-7,-0.2433825731277466,-0.5216978788375854,-0.07068421691656113,,56917
100,10,20502,0.5660000000000001,652439495,652439495,-5,-0.2384700626134872,-0.5109350085258484,-0.04933014884591103,,56921
1,11,20503,0.6,652439497,652439497,11,-0.2491915971040726,-0.5336633920669556,0.1144853979349136,,56923
100,12,20504,552,652439500,652439500,-3,-0.2333143055438995,-0.4994335174560547,-0.02888944745063782,,56926
1,13,20505,668,652439502,652439502,13,-0.2755881249904633,-0.5896565914154053,0.1502673029899597,,56928
45,14,20506,548,652439504,652439504,-1,-0.2320794314146042,-0.496338278055191,-0.00956391915678978,,56930
2,4,20515,506,652439537,652439537,-11,-0.2110937237739563,-0.4496150314807892,-0.09654935449361801,,56963
2,5,20516,714,652439539,652439539,5,-0.3024002015590668,-0.643799364566803,0.06222920119762421,,56965
2,7,20518,656,652439543,652439543,7,-0.2770236134529114,-0.5892389416694641,0.07994628697633743,,56969
53,8,20519,588,652439546,652439546,-7,-0.2483999282121658,-0.5281159281730652,-0.07165917754173279,,56972
2,9,20519,0.73,652439548,652439548,9,-0.3068783283233643,-0.6524451971054077,0.1141971573233604,,56974
76,10,20520,0.5680000000000001,652439550,652439550,-5,-0.2409223467111588,-0.5119860768318176,-0.04950446262955666,,56976
1,11,20521,676,652439553,652439553,11,-0.2826434075832367,-0.600375771522522,0.1289868801832199,,56979
100,12,20522,548,652439555,652439555,-3,-0.2331801205873489,-0.4950843155384064,-0.02868010476231575,,56981
1,13,20523,768,652439557,652439557,13,-0.3189720213413239,-0.6769298315048218,0.1727624088525772,,56983
36,14,20524,546,652439560,652439560,-1,-0.2327848821878433,-0.4937979280948639,-0.009529014118015766,,56986
1,15,20524,0.8080000000000001,652439562,652439562,15,-0.3328000605106354,-0.7059564590454102,0.2091257870197296,,56988
10,2,20534,0.52,652439587,652439587,-13,-0.2168501913547516,-0.4579224288463593,-0.1169745475053787,,57013
2,4,20535,506,652439592,652439592,-11,-0.2126618772745132,-0.4488754272460938,-0.09654935449361801,,57018
6,5,20536,704,652439594,652439594,5,-0.3003788888454437,-0.6337379217147827,0.06135764345526695,,57020
2,7,20538,0.68,652439599,652439599,7,-0.2892889380455017,-0.6097903847694397,0.08287115395069122,,57025
53,8,20539,588,652439601,652439601,-7,-0.2502418756484985,-0.5272456407546997,-0.07165917754173279,,57027
2,9,20539,646,652439603,652439603,9,-0.2735800445079803,-0.5764178037643433,0.1010566651821136,,57029
25,10,20540,0.5620000000000001,652439606,652439606,-5,-0.2401442378759384,-0.505742609500885,-0.04898152872920036,,57032
1,11,20541,636,652439608,652439608,11,-0.2678890228271484,-0.5639189481735229,0.1213545203208923,,57034
89,12,20542,0.5620000000000001,652439610,652439610,-3,-0.2409081310033798,-0.5068946480751038,-0.02941280789673328,,57036
1,13,20543,668,652439613,652439613,13,-0.2794927656650543,-0.5878158807754517,0.1502673029899597,,57039
9,14,20544,518,652439615,652439615,-1,-0.2224811315536499,-0.4677011966705322,-0.009040346369147301,,57041
10,2,20556,548,652439643,652439643,-13,-0.2303780317306519,-0.481698751449585,-0.123273178935051,,57069
2,4,20557,506,652439647,652439647,-11,-0.2143838703632355,-0.4480555653572083,-0.09654935449361801,,57073
22,5,20558,0.68,652439649,652439649,5,-0.2924869656562805,-0.6110146641731262,0.05926590412855148,,57075
9,7,20560,724,652439654,652439654,7,-0.3104982972145081,-0.6480599045753479,0.08823340386152267,,57080
10,8,20561,596,652439656,652439656,-7,-0.2556966841220856,-0.5334411859512329,-0.07263413071632385,,57082
8,9,20561,638,652439659,652439659,9,-0.2723759114742279,-0.5682379007339478,0.09980519115924835,,57085
25,10,20562,0.5740000000000001,652439661,652439661,-5,-0.2472534328699112,-0.5155957937240601,-0.05002739652991295,,57087
1,11,20563,704,652439663,652439663,11,-0.2989258468151093,-0.6230689287185669,0.1343295276165009,,57089
66,12,20564,0.5600000000000001,652439666,652439666,-3,-0.2419884502887726,-0.5041652917861938,-0.0293081346899271,,57092
1,13,20565,668,652439668,652439668,13,-0.2817477583885193,-0.5867384076118469,0.1502673029899597,,57094
8,14,20566,0.5620000000000001,652439670,652439670,-1,-0.2433257400989532,-0.5064981579780579,-0.009808252565562725,,57096
2,4,20577,538,652439702,652439702,-11,-0.2296032756567001,-0.4755925238132477,-0.1026552394032478,,57128
25,5,20578,0.6900000000000001,652439705,652439705,5,-0.2989506423473358,-0.618960440158844,0.06013746187090874,,57131
14,6,20579,536,652439707,652439707,-9,-0.2303285598754883,-0.4766698181629181,-0.08384887129068375,,57133
28,7,20580,718,652439709,652439709,7,-0.3101666271686554,-0.6416105031967163,0.08750218898057938,,57135
11,8,20581,0.5680000000000001,652439712,652439712,-7,-0.2454571723937988,-0.5075264573097229,-0.06922178715467453,,57138
24,9,20582,646,652439714,652439714,9,-0.2778982520103455,-0.5743484497070313,0.1010566651821136,,57140
22,10,20582,0.63,652439716,652439716,-5,-0.273349404335022,-0.5649470686912537,-0.05490811914205551,,57142
2,11,20583,658,652439719,652439719,11,-0.281424880027771,-0.5813782215118408,0.12555231153965,,57145
33,12,20584,0.5680000000000001,652439721,652439721,-3,-0.2472289353609085,-0.5105077624320984,-0.02972682379186153,,57147
1,13,20585,0.6920000000000001,652439723,652439723,13,-0.2939903438091278,-0.6067962646484375,0.1556661278009415,,57149
8,14,20586,0.59,652439726,652439726,-1,-0.2573032677173615,-0.5308380126953125,-0.01029691938310862,,57152
2,15,20587,736,652439728,652439728,15,-0.3101968467235565,-0.6396774053573608,0.1904908120632172,,57154
10,2,20594,0.52,652439753,652439753,-13,-0.221633568406105,-0.455626517534256,-0.1169745475053787,,57179
30,5,20596,0.71,652439760,652439760,5,-0.3096152544021606,-0.6359317302703857,0.06188057735562325,,57186
14,6,20597,536,652439762,652439762,-9,-0.2318249344825745,-0.4759438633918762,-0.08384887129068375,,57188
71,7,20598,708,652439765,652439765,7,-0.3078328669071198,-0.6317104697227478,0.08628349751234055,,57191
11,8,20599,0.5680000000000001,652439767,652439767,-7,-0.247050404548645,-0.5067528486251831,-0.06922178715467453,,57193
24,9,20599,658,652439769,652439769,9,-0.2847949862480164,-0.5841749906539917,0.1029338762164116,,57195
53,10,20600,646,652439772,652439772,-5,-0.2821101546287537,-0.5784115195274353,-0.05630261078476906,,57198
8,11,20601,654,652439774,652439774,11,-0.2815280556678772,-0.576962411403656,0.1247890815138817,,57200
44,12,20602,0.5600000000000001,652439776,652439776,-3,-0.2453268468379974,-0.5025492906570435,-0.0293081346899271,,57202
1,13,20603,648,652439779,652439779,13,-0.2770810425281525,-0.5673462152481079,0.1457682847976685,,57205
7,14,20604,622,652439781,652439781,-1,-0.2730154991149902,-0.5587742924690247,-0.01085539720952511,,57207
14,0,20612,518,652439804,652439804,-15,-0.2202802151441574,-0.4492508471012115,-0.1340682655572891,,57230
59,5,20616,0.6960000000000001,652439815,652439815,5,-0.305684357881546,-0.6223289966583252,0.06066039577126503,,57241
14,6,20617,536,652439818,652439818,-9,-0.2334848791360855,-0.4751317501068115,-0.08384887129068375,,57244
100,7,20618,706,652439820,652439820,7,-0.3091602623462677,-0.6288506388664246,0.08603975921869278,,57246
10,8,20619,596,652439822,652439822,-7,-0.2610834538936615,-0.5308254957199097,-0.07263413071632385,,57248
16,9,20620,664,652439825,652439825,9,-0.2895506024360657,-0.5884445309638977,0.1038724854588509,,57251
81,10,20620,664,652439827,652439827,-5,-0.2920443117618561,-0.5935124158859253,-0.05787141248583794,,57253
12,11,20621,0.64,652439829,652439829,11,-0.2774706184864044,-0.5636464357376099,0.1221177577972412,,57255
53,12,20622,584,652439831,652439831,-3,-0.2576687037944794,-0.5231908559799194,-0.0305641982704401,,57257
1,13,20623,0.7000000000000001,652439834,652439834,13,-0.3014534413814545,-0.6118254065513611,0.1574657410383224,,57260
8,14,20624,0.59,652439836,652439836,-1,-0.2608182430267334,-0.5291198492050171,-0.01029691938310862,,57262
