reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
61,1,20066,1378,268322604,268322604,1,-0.4861142337322235,-1.289185285568237,0.02404941618442535
8,2,20067,626,268322606,268322606,-13,-0.2153051942586899,-0.5706921815872192,-0.1408193558454514
65,3,20068,1378,268322609,268322609,3,-0.4859714210033417,-1.287444949150085,0.07211894541978836
6,4,20068,654,268322611,268322611,-11,-0.2267156094312668,-0.6006194353103638,-0.1247890815138817
55,5,20069,1.38,268322613,268322613,5,-0.4857146143913269,-1.286085247993469,0.1202749237418175
7,6,20070,776,268322616,268322616,-9,-0.2709194421768188,-0.7169674634933472,-0.1213931441307068
67,7,20071,1358,268322618,268322618,7,-0.4766609072685242,-1.260780930519104,0.1654985696077347
15,8,20072,872,268322620,268322620,-7,-0.3062151670455933,-0.8095201849937439,-0.1062700673937798
57,9,20072,1.39,268322622,268322622,9,-0.4857292175292969,-1.284089326858521,0.2174439132213593
64,10,20073,1426,268322625,268322625,-5,-0.5028327703475952,-1.328603982925415,-0.1242840886116028
60,11,20074,1.38,268322627,268322627,11,-0.4797176718711853,-1.266860485076904,0.263316422700882
71,12,20075,1402,268322629,268322629,-3,-0.4960353076457977,-1.309262752532959,-0.07337500900030136
54,13,20076,1368,268322632,268322632,13,-0.4724656343460083,-1.246394991874695,0.307733029127121
68,14,20077,1408,268322634,268322634,-1,-0.4992253184318542,-1.316295623779297,-0.02457298897206783
50,15,20077,1.38,268322636,268322636,15,-0.4726971089839935,-1.246349453926086,0.3571702837944031
12,0,20085,0.5660000000000001,268322657,268322657,-15,-0.1945878863334656,-0.5109126567840576,-0.1464915722608566
61,1,20086,1402,268322659,268322659,1,-0.4991561472415924,-1.309903979301453,0.02446827292442322
9,2,20087,594,268322662,268322662,-13,-0.2061881870031357,-0.5408030152320862,-0.1336209326982498
62,3,20088,1392,268322664,268322664,3,-0.4954454004764557,-1.298803448677063,0.07285165041685104
8,4,20088,646,268322666,268322666,-11,-0.2260118722915649,-0.592487096786499,-0.1232626140117645
49,5,20089,1394,268322669,268322669,5,-0.4951739907264709,-1.297411918640137,0.1214951053261757
7,6,20090,0.78,268322671,268322671,-9,-0.2748298645019531,-0.719708263874054,-0.1220188811421394
65,7,20091,1374,268322673,268322673,7,-0.4867267906665802,-1.27394425868988,0.1674484759569168
15,8,20092,874,268322675,268322675,-7,-0.3097478449344635,-0.8103005886077881,-0.1065138056874275
56,9,20093,1376,268322678,268322678,9,-0.4854927659034729,-1.269385099411011,0.2152538299560547
64,10,20093,1438,268322680,268322680,-5,-0.5117378234863281,-1.338006258010864,-0.1253299564123154
60,11,20094,1396,268322682,268322682,11,-0.4897500872612,-1.279846906661987,0.2663693428039551
66,12,20095,1426,268322685,268322685,-3,-0.5091719627380371,-1.329906105995178,-0.07463107258081436
49,13,20096,1376,268322687,268322687,13,-0.4796018600463867,-1.252017378807068,0.309532642364502
64,14,20097,1.4,268322689,268322689,-1,-0.5009543895721436,-1.307075977325439,-0.02443336881697178
50,15,20098,1392,268322692,268322692,15,-0.4814121425151825,-1.255431175231934,0.3602761030197144
14,0,20105,514,268322712,268322712,-15,-0.1783290505409241,-0.4633540511131287,-0.1330329924821854
66,1,20106,1416,268322715,268322715,1,-0.5087555646896362,-1.321216464042664,0.02471260726451874
8,2,20107,646,268322717,268322717,-13,-0.2262899875640869,-0.5873596668243408,-0.1453183740377426
60,3,20108,1408,268322719,268322719,3,-0.5057229399681091,-1.311975002288818,0.07368902862071991
6,4,20108,634,268322722,268322722,-11,-0.2238419055938721,-0.5807033181190491,-0.1209729015827179
49,5,20109,1.39,268322724,268322724,5,-0.4982659220695496,-1.29195761680603,0.121146485209465
7,6,20110,0.8,268322726,268322726,-9,-0.2844517230987549,-0.737173855304718,-0.1251475661993027
64,7,20111,1398,268322728,268322728,7,-0.4997501373291016,-1.29446005821228,0.17037333548069
15,8,20112,878,268322731,268322731,-7,-0.3140049874782562,-0.812917947769165,-0.1070012822747231
57,9,20112,1402,268322733,268322733,9,-0.4989525675773621,-1.291723132133484,0.2193211168050766
61,10,20113,1442,268322735,268322735,-5,-0.517841637134552,-1.33992874622345,-0.1256785839796066
59,11,20114,1.41,268322738,268322738,11,-0.4991708993911743,-1.290947556495667,0.2690406739711761
63,12,20115,1.44,268322740,268322740,-3,-0.5188555121421814,-1.341159701347351,-0.07536377757787704
